time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.01 0.02294479255673382 5.73745504234674e-07 0.02295345168655401 4.845512614906495e-06 0.0016578948254263874 9943.160304551555 19799.999999999978 -6.972721011688776e-14 593999.9998162803
0.02 0.02387673899905775 1.6351657802045233e-06 0.023882855919196266 1.5328108686061287e-07 0.0021102106419550663 9943.160340416593 19799.999999999898 6.775801098045202e-14 593999.999816359
0.03 0.02526628420287177 1.5623482946482589e-09 0.025267398924849048 1.5129738282715665e-07 0.0026929653712869117 9943.160385528074 19799.999999999985 1.367608080276618e-13 593999.9998164524
0.04 0.02619378865209122 6.182935451927284e-07 0.02619534429150716 8.223775567219307e-07 0.003319251451511204 9943.16043988806 19799.999999999873 3.3051686387786106e-14 593999.9998164551
0.05 0.027121389324756245 6.681430412050141e-07 0.027123246808975314 8.359975085673041e-07 0.003959930549209835 9943.160503495494 19799.999999999953 1.0383184654953748e-13 593999.9998164064
0.06 0.028049497957589126 6.286695645883137e-07 0.028051578930132288 7.505324545578224e-07 0.004603363112799112 9943.160576351085 19800.000000000025 1.1552390988267547e-13 593999.9998163077
0.07 0.0289782649009956 6.047789969243038e-07 0.028980529771662218 6.9418311974615e-07 0.005243578432284968 9943.160658457511 19800.000000000055 1.2528866832894892e-13 593999.9998162006
0.08 0.029907719408199685 5.979629099084791e-07 0.029910143300301166 6.659914304766121e-07 0.005877188694817326 9943.160749818002 19799.999999999887 7.200663676432129e-14 593999.9998161014
0.09 0.030837856006971434 5.974495323989931e-07 0.03084042051317076 6.501570793454001e-07 0.006502110318366171 9943.160850436445 19799.99999999998 4.5618023247762096e-14 593999.999816024
0.1 0.031768661939039294 5.974867874502855e-07 0.03177135303001239 6.381454972084733e-07 0.007116967978838006 9943.160960316625 19799.99999999993 -7.129713486264677e-15 593999.999815987
0.11 0.03270012189380854 5.966384254078659e-07 0.032702928877759344 6.273687230855773e-07 0.007720795006380133 9943.161079462267 19799.999999999924 7.463647755390213e-14 593999.9998160304
0.12 0.03363221845726808 5.94851094751789e-07 0.03363513309390639 6.172768967746098e-07 0.008312873981936923 9943.161207877216 19800.000000000004 1.382076453336576e-13 593999.9998161474
0.13 0.03456493271126032 5.91950498228128e-07 0.03456794853413166 6.073934549208741e-07 0.008892647652494179 9943.16134556525 19799.999999999964 8.593243439958612e-14 593999.9998163813
0.14 0.035498244931326944 5.873546449623989e-07 0.035501356787527645 5.968959340044732e-07 0.009459667017024765 9943.161492529856 19799.999999999916 1.278404465621108e-13 593999.999816741
0.15 0.036432135054722786 5.802186743437462e-07 0.03643533879817535 5.847396778233427e-07 0.010013560056538974 9943.161648774532 19799.999999999894 1.2706849461530112e-13 593999.9998172693
0.16 0.03736658291580621 5.696066301617759e-07 0.03736987519343439 5.698273232305709e-07 0.010554012427326476 9943.161814302404 19799.999999999945 1.2886219868946114e-13 593999.9998179696
0.17 0.03830156835589774 5.545994889064015e-07 0.0383049464500568 5.511121982136686e-07 0.011080755329064173 9943.161989116794 19799.999999999833 9.894862706971708e-14 593999.9998188685
0.18 0.039237071277389436 5.343535403293287e-07 0.03924053298534243 5.276500557294235e-07 0.011593557793108276 9943.162173220746 19799.99999999985 8.061891879442874e-14 593999.9998199902
0.19 0.040173071677460065 5.081319341908264e-07 0.04017661521743605 4.986243404447473e-07 0.01209222174886177 9943.162366617062 19799.99999999994 1.0826582685918851e-13 593999.9998213627
0.2 0.041109549671603914 4.753238686484999e-07 0.04111317360886573 4.633604034737568e-07 0.012576578859470706 9943.162569308344 19799.99999999996 3.662518159643102e-14 593999.9998230033
0.21 0.042046485511570315 4.354549434308484e-07 0.042050188699812245 4.2133216007489976e-07 0.013046488491674411 9943.162781297335 19799.99999999999 -1.5412753809774388e-14 593999.9998249385
0.22 0.04298385960008079 3.8819386857698565e-07 0.0429876411346296 3.7216605665880197e-07 0.013501836412253367 9943.163002586187 19800.0000000001 1.9878196311218232e-14 593999.9998271886
0.23 0.04392165250376094 3.333539824171752e-07 0.04392551168390048 3.156405556033135e-07 0.013942533946292319 9943.163233177285 19799.999999999916 1.3244276958783094e-13 593999.9998297788
0.24 0.044859844966178127 2.7089160645777463e-07 0.04486378126455991 2.5168296156397993e-07 0.014368517424326384 9943.163473072434 19799.999999999887 6.317574569492286e-14 593999.9998327352
0.25 0.045798417920057455 2.0090190906956358e-07 0.045802430957652414 1.803641128498697e-07 0.014779747805586151 9943.163722273952 19799.999999999927 -6.225922555280761e-15 593999.9998360769
0.26 0.04673735250290919 1.2361214456346718e-07 0.046741442028328424 1.0189071707381489e-07 0.015176210404383873 9943.163980783183 19799.99999999988 1.7836947197036324e-13 593999.999839829
0.27 0.04767662997340657 3.936605931348845e-08 0.04768079599581616 1.658534669230013e-08 0.01555791402819956 9943.164248601855 19799.99999999995 2.0426896122933275e-13 593999.9998440177
0.28 0.048616232119183866 -5.135997147871032e-08 0.04862047446084488 -7.508382420511757e-08 0.015924892497228213 9943.164525731461 19799.99999999991 1.664796772660182e-13 593999.9998486597
0.29 0.04955614068364551 -1.480038017881161e-07 0.04956045938242477 -1.7256986883264955e-07 0.016277203119170896 9943.164812173067 19799.999999999756 3.9334082323726205e-14 593999.9998537817
0.3 0.050496337799583936 -2.499105303350382e-07 0.050500732968567434 -2.75229421609298e-07 0.016614926689062205 9943.165107927864 19799.99999999991 -4.083365590101806e-14 593999.9998594046
0.31 0.05143680588762345 -3.563474022596086e-07 0.051441277705177056 -3.8233957483703146e-07 0.01693816735363888 9943.165412996872 19799.9999999999 1.0245623793814218e-13 593999.9998655486
0.32 0.052377527680043404 -4.6651732992683454e-07 0.052382076381859 -4.931116520681057e-07 0.01724705241396473 9943.16572738054 19799.999999999796 4.7108150713626173e-14 593999.9998722399
0.33 0.05331848624275258 -5.795723935453306e-07 0.05332311211531865 -6.067050481104588e-07 0.017541732086293303 9943.166051079916 19799.999999999927 1.2711854409808848e-13 593999.9998795029
0.34 0.05425966499429933 -6.946273823670187e-07 0.05426436836932473 -7.222409861447654e-07 0.01782237922230978 9943.166384095284 19799.99999999997 1.6409403946326256e-13 593999.9998873466
0.35000000000000003 0.05520104772342235 -8.107723417623742e-07 0.055205828972987626 -8.388151948383533e-07 0.018089188982986032 9943.16672642688 19799.999999999924 3.678134186113624e-14 593999.9998957998
0.36 0.05614261860564959 -9.270851016865693e-07 0.0561474781379711 -9.555105258792818e-07 0.018342378457530246 9943.167078074992 19799.99999999982 9.910995296485113e-14 593999.9999048777
0.37 0.05708436221728644 -1.0426432088996022e-06 0.0570893004730076 -1.071408981839938e-06 0.018582186217941447 9943.167439039782 19799.999999999916 6.285845054101319e-14 593999.9999146174
0.38 0.058026263548692586 -1.1565339896930187e-06 0.058031280997625494 -1.1856018411521952e-06 0.018808871799658237 9943.167809320921 19799.999999999825 9.987874378470166e-14 593999.9999250163
0.39 0.058968308013831766 -1.2678656899458124e-06 0.058973405152094496 -1.2972008700658026e-06 0.01902271509950846 9943.168188918233 19800.000000000004 1.154996669526921e-13 593999.9999361009
0.4 0.059910481457508005 -1.3757753598074413e-06 0.05991565880499328 -1.405346262842001e-06 0.0192240156835074 9943.168577831428 19799.999999999993 1.0175714437732353e-13 593999.9999478944
0.41000000000000003 0.0608527701613268 -1.4794376291346221e-06 0.060858028259465645 -1.509215452500305e-06 0.01941309199890895 9943.168976059913 19799.999999999956 1.8544081811029851e-13 593999.9999604207
0.42 0.061795160844825614 -1.578071095240294e-06 0.06180050025459708 -1.6080295551049862e-06 0.019590280487157108 9943.169383603185 19799.999999999913 1.3319727265592718e-13 593999.9999736791
0.43 0.06273764066481151 -1.6709441745385303e-06 0.06274306196498063 -1.7010592381065316e-06 0.019755934596905715 9943.169800460515 19799.999999999894 6.189146417590052e-14 593999.9999876975
0.44 0.06368019721221793 -1.757379899320366e-06 0.06368570099776191 -1.7876295594391351e-06 0.019910423698880287 9943.170226630868 19799.999999999854 1.0872205913337041e-13 594000.000002499
0.45 0.06462281850407177 -1.8367590505705028e-06 0.06462840538477523 -1.8671231213044378e-06 0.020054131906920965 9943.170662113404 19799.999999999887 2.9476421303797906e-14 594000.000018082
0.46 0.06556549297570376 -1.9085231958458073e-06 0.06557116357490454 -1.9389831306630036e-06 0.020187456811913407 9943.171106907144 19800.00000000002 1.4136261605735e-13 594000.0000344861
0.47000000000000003 0.06650820946655626 -1.972175780870938e-06 0.06651396442002105 -2.00271451016484e-06 0.02031080813739825 9943.17156101069 19800.000000000102 1.9992688060632702e-13 594000.0000517041
0.48 0.06745095720687173 -2.0272830326431783e-06 0.06745679716179093 -2.0578848210166503e-06 0.020424606327289176 9943.172024422902 19800.000000000033 2.0474941186954254e-14 594000.0000697675
0.49 0.06839372579882029 -2.0734735319378954e-06 0.0683996514129033 -2.104123847776147e-06 0.0205292810773649 9943.172497142341 19799.999999999894 2.0732446741512792e-13 594000.0000886869
0.5 0.0693365051981545 -2.1104378048051324e-06 0.06934251713881519 -2.1411232030253785e-06 0.020625269822916226 9943.17297916748 19800.000000000095 1.9062876277509133e-14 594000.0001084671
0.51 0.07027928569127886 -2.137925965811605e-06 0.07028538463491124 -2.1686339872790135e-06 0.020713016195208704 9943.173470496935 19799.999999999873 3.2154834350706096e-14 594000.0001291393
0.52 0.07122205787229642 -2.1557468234881456e-06 0.07122824450361223 -2.186465895538404e-06 0.02079296845927865 9943.1739711288 19799.99999999993 4.6468280214171883e-14 594000.000150695
0.53 0.07216481261820895 -2.1637643523266276e-06 0.07217108762964948 -2.194483707155639e-06 0.020865577945079247 9943.17448106148 19799.999999999873 1.6214016103526028e-13 594000.0001731658
0.54 0.07310754106214257 -2.161896077559704e-06 0.07311390515334212 -2.1926056779310384e-06 0.020931297483248183 9943.175000293102 19799.999999999887 1.3500311979441904e-13 594000.0001965587
0.55 0.07405023456614332 -2.1501088356526155e-06 0.07405668844345183 -2.1807992985049504e-06 0.020990579855847867 9943.175528821648 19800.0 1.0260299994878114e-13 594000.0002208794
0.56 0.0749928846938089 -2.128417319605673e-06 0.07499942906985209 -2.1590798558390946e-06 0.021043876271448665 9943.176066645212 19799.999999999964 6.705573596388348e-14 594000.0002461442
0.5700000000000001 0.07593548318177115 -2.096879789459726e-06 0.0759421187750645 -2.127506148607083e-06 0.021091634872968248 9943.176613761805 19799.99999999989 1.090221662947144e-13 594000.0002723656
0.58 0.07687802191149298 -2.0555957504031812e-06 0.07688474944608366 -2.0861781616782306e-06 0.021134299285809857 9943.177170169067 19799.999999999985 1.7355908377147955e-13 594000.0002995541
0.59 0.07782049288173609 -2.0047032324254853e-06 0.07782731308688104 -2.0352343590795116e-06 0.021172307213135167 9943.17773586491 19799.99999999987 2.8449465006019636e-15 594000.000327716
0.6 0.07876288818050502 -1.9443757834335575e-06 0.07876980179038245 -1.9748486774507024e-06 0.021206089084563163 9943.178310847006 19799.999999999964 1.2907036550657836e-13 594000.0003568582
0.61 0.07970519995965462 -1.874820598861836e-06 0.07971220771310022 -1.9052286574779916e-06 0.0212360667642377 9943.178895112878 19799.999999999865 4.625813621039754e-14 594000.0003870039
0.62 0.0806474204083592 -1.7962758214394544e-06 0.08065452304862822 -1.826612748386235e-06 0.021262652324000757 9943.179488660118 19799.999999999884 6.370373436523141e-14 594000.0004181489
0.63 0.0815895417302024 -1.7090095414299692e-06 0.08159674000474752 -1.739269308973968e-06 0.02128624688734299 9943.180091486207 19799.99999999997 1.9334390147652657e-14 594000.0004503023
0.64 0.0825315561196998 -1.6133176625692449e-06 0.08253885077997769 -1.6434944795955897e-06 0.02130723954977815 9943.180703588463 19799.999999999956 7.100846434015661e-14 594000.0004834771
