time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.005 0.022711288995109217 3.8371665410693106e-08 0.0227152462274675 4.615055099503733e-06 0.0015036432026142858 9943.160290105603 19799.99999999992 -6.677153269315714e-14 593999.9998161756
0.01 0.02317979347147914 2.0534810136428984e-06 0.02318240307780408 2.4756179159177614e-06 0.00163243620873767 9943.160304558367 19799.99999999991 1.7733613920855804e-14 593999.9998162354
0.015 0.023875204156995792 -2.7657221429610676e-07 0.02387532499967513 3.9081820356812643e-07 0.0018491182583317588 9943.160321330513 19799.999999999865 9.85427017763385e-14 593999.9998163109
0.02 0.02433915419556848 4.7218790947152734e-07 0.024339648122868287 1.0620948281518747e-06 0.0021086227303533647 9943.160340416001 19799.99999999998 6.418943068048355e-14 593999.9998163873
0.025 0.024802960148454845 8.24519093363577e-07 0.024803817697221155 1.3828865872580927e-06 0.0023930273201471968 9943.160361814358 19799.99999999994 -6.353251258417458e-14 593999.9998164354
0.03 0.025266541171086017 8.133047011259743e-07 0.0252676776243762 1.2731385844684917e-06 0.002693110469804376 9943.160385525265 19799.999999999935 8.749424795784222e-14 593999.9998164597
0.035 0.025730048371641438 7.274534281865113e-07 0.025731391876681525 1.078963885909249e-06 0.0030031098352015927 9943.160411548126 19799.999999999993 9.779330123471652e-14 593999.999816458
0.04 0.026193626322853245 6.66107720530384e-07 0.026195142917232066 9.383661118029533e-07 0.0033192239886769438 9943.160439882462 19799.999999999887 8.856458589504707e-14 593999.9998164406
0.045 0.02665734313396094 6.371536800918007e-07 0.026659015740326322 8.589008019228348e-07 0.003638906765384562 9943.16047052843 19800.000000000062 -2.58352638327769e-14 593999.9998164183
0.05 0.027121209749308157 6.290205678854645e-07 0.02712302252045384 8.165358095264599e-07 0.0039604186546530395 9943.160503486124 19799.999999999978 3.320260733019609e-14 593999.9998163868
0.055 0.027585223330357653 6.269855049269917e-07 0.027587160345696332 7.876439766260045e-07 0.004282555509047802 9943.160538755843 19800.000000000065 -1.0063130884141458e-14 593999.9998163338
0.06 0.02804938856595723 6.227672079349045e-07 0.02805143640119407 7.605548482669639e-07 0.004604463727771132 9943.160576337896 19800.000000000022 7.310045106669223e-14 593999.999816286
0.065 0.028513714418236948 6.16479386056078e-07 0.02851586273762543 7.347681113731053e-07 0.004925518417792162 9943.160616232792 19799.999999999938 1.8175964341471743e-13 593999.9998162293
0.07 0.02897820681557291 6.109331719020869e-07 0.028980447460177416 7.129395839094983e-07 0.005245248867403601 9943.16065844078 19800.00000000015 4.362128876427701e-14 593999.9998161665
0.075 0.029442867541786367 6.072655824445441e-07 0.02944519366927752 6.957406625360366e-07 0.005563292589246386 9943.160702962452 19800.000000000015 6.209442682258981e-14 593999.9998161119
0.08 0.029907696484438296 6.049362762102379e-07 0.029910102195838853 6.8200028721946e-07 0.005879365057712174 9943.16074979814 19800.00000000005 1.089373579679035e-13 593999.9998160547
