time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.01 0.012794505957027436 1.1139922317254002e-08 0.012799116554341126 4.587966130519604e-06 0.0017464218385690835 9943.160304493043 19800.000000000022 2.932203091443597e-14 593999.999816333
0.02 0.013718755828091426 1.9769207726303188e-06 0.013723031077276533 2.3949961247324707e-06 0.002142599127927523 9943.160340226566 19799.999999999964 2.437171964892945e-13 593999.9998163733
0.03 0.015099441522586644 -4.1060419042018e-07 0.015100550784611918 2.4406241552807327e-07 0.002741349425726195 9943.160385158857 19799.99999999986 1.956490525145682e-13 593999.9998164253
0.04 0.016021068430446476 3.140056324583644e-07 0.01602278665593377 8.862695224776251e-07 0.0033910226649307047 9943.160439284095 19799.99999999991 7.670929931297317e-14 593999.9998164454
0.05 0.016943050322043206 6.523629978154421e-07 0.016945331623264358 1.1896629635872478e-06 0.004055950601702376 9943.160502605419 19799.99999999995 -3.4590386110977533e-15 593999.9998164125
0.06 0.017865258300691852 6.364157177812377e-07 0.01786800312227314 1.0731758336449375e-06 0.0047249548779473415 9943.16057512551 19799.999999999964 1.0209715017861498e-13 593999.9998163274
0.07 0.018787801068800306 5.540050741908703e-07 0.018790921907161386 8.813502850523572e-07 0.005392542976333593 9943.160656846672 19800.00000000005 1.2412119942961652e-13 593999.9998162295
0.08 0.019710785908327734 5.030773243379776e-07 0.01971423280325439 7.506384560738631e-07 0.006055399235680201 9943.160747770795 19800.000000000095 7.695927228823507e-14 593999.9998161346
0.09 0.020634249467681713 4.902037475839072e-07 0.020637992492229414 6.871743965829916e-07 0.006711379269060983 9943.160847900446 19800.0 1.3588435932021525e-13 593999.9998160683
0.1 0.021558176073237498 5.024014514931815e-07 0.021562190061411034 6.65475140247085e-07 0.007359013544425795 9943.160957238408 19800.00000000006 6.897260540483785e-14 593999.9998160483
0.11 0.022482539665653473 5.234630183743873e-07 0.02248680187243546 6.603641695467777e-07 0.007997262085193683 9943.16107578717 19799.999999999964 1.6074172022725527e-13 593999.9998160932
0.12 0.023407324022558906 5.435777363611202e-07 0.02341181585785647 6.585676830183212e-07 0.008625346688725305 9943.161203549644 19799.999999999905 1.438692914801365e-13 593999.9998162256
0.13 0.02433251884403226 5.613279867379152e-07 0.024337226037633834 6.579962444918426e-07 0.009242643556716688 9943.16134052813 19799.999999999978 1.3941625631730403e-13 593999.9998164558
0.14 0.025258112044859997 5.78023578288872e-07 0.025263023491767757 6.597630546206901e-07 0.009848627148235515 9943.161486725197 19799.99999999996 6.592724413265194e-14 593999.9998168206
0.15 0.026184088362510176 5.93361699813592e-07 0.02618919507655546 6.630673796488156e-07 0.010442842012591705 9943.161642143154 19800.00000000003 7.372490747233063e-14 593999.9998173355
0.16 0.027110431389493362 6.054499705928706e-07 0.027115725976158193 6.653591135437922e-07 0.01102488644569085 9943.161806784175 19799.99999999998 2.0443720907771176e-13 593999.999818025
0.17 0.02803712490604326 6.123000405743218e-07 0.02804260131693107 6.64101382459048e-07 0.011594401800186577 9943.161980650411 19799.99999999988 8.138108242849995e-14 593999.9998189068
0.18 0.028964152925476012 6.124950741225772e-07 0.02896980626782205 6.575160082981976e-07 0.012151065462373847 9943.162163743764 19799.99999999995 1.536964999715451e-14 593999.9998200099
0.19 0.029891499412098833 6.050501031766289e-07 0.0298973257585021 6.443854081686311e-07 0.012694586411419333 9943.162356066325 19799.99999999993 1.2614300608834034e-13 593999.9998213534
0.2 0.030819148191063996 5.891649738179052e-07 0.03082514440957756 6.237360847505372e-07 0.013224702505329136 9943.162557619547 19799.99999999994 9.967027203572343e-14 593999.9998229588
0.21 0.03174708300252131 5.641499303522609e-07 0.03175324662159922 5.947327771617283e-07 0.013741178877377087 9943.162768405055 19800.000000000004 5.718494932140453e-14 593999.9998248561
0.22 0.03267528756075726 5.294581574168969e-07 0.032681616665228105 5.567056343798979e-07 0.014243807047902 9943.162988424421 19800.0 1.1683596730610417e-13 593999.9998270635
0.23 0.03360374557940673 4.847192877837416e-07 0.033610238727993784 5.09183578607968e-07 0.014732404505545025 9943.163217678832 19799.999999999858 -4.366390468591927e-15 593999.9998296045
0.24 0.034532440781185995 4.2974860733770777e-07 0.03453909693869097 4.519006780935983e-07 0.015206814598475024 9943.16345616952 19800.000000000055 1.4091332267707202e-13 593999.9998325073
0.25 0.03546135691039164 3.645416393289124e-07 0.035468175390990515 3.847862790691486e-07 0.01566690662579878 9943.163703897406 19800.000000000084 1.3660010893690872e-13 593999.9998357896
0.26 0.036390477745174496 2.892662080226417e-07 0.036397458164883774 3.079532426738628e-07 0.01611257605019783 9943.163960863483 19799.99999999975 6.756458592474882e-14 593999.9998394795
0.27 0.037319787118692674 2.0425516616154114e-07 0.03732692935549144 2.216881424370249e-07 0.01654374477358312 9943.16422706832 19799.999999999836 1.2240035374144753e-13 593999.9998435919
0.28 0.03824926893696311 1.0999745361314872e-07 0.038256573097226514 1.2644066077756767e-07 0.016960361432014986 9943.164502512744 19800.000000000065 1.1069790917250799e-13 593999.9998481614
0.29 0.039178907202343696 7.1272934070967555e-09 0.03918637359239941 2.2811569581289348e-08 0.017362401676306687 9943.164787196982 19799.999999999978 -7.70911112724093e-15 593999.999853202
0.3 0.04010868582144385 -1.0358749928243182e-07 0.04011631521148493 -8.847488311336946e-08 0.017749867721241295 9943.165081121382 19799.99999999987 1.2304220142755895e-13 593999.9998587477
