time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.01 0.012674778498964753 3.1746912575359264e-05 0.012672942276875673 3.555160234790969e-05 0.006030117749594257 9943.1603471176 19799.999999999804 1.5166756739404263e-12 593999.9837241172
0.02 0.01359295722011103 3.2207084120306835e-05 0.013593103708940074 3.567413894262848e-05 0.00666544138514956 9943.160381596143 19799.999999999876 -4.2265149713394123e-13 593999.9771227221
0.03 0.014972384053039346 3.3021426698256624e-05 0.01497107894009003 3.622689997097529e-05 0.007353685558178224 9943.160425258426 19799.999999999873 -2.527630882376286e-12 593999.9705279333
0.04 0.015893132442036474 3.378346755241125e-05 0.015894204439347574 3.6733925281488014e-05 0.008111776800440793 9943.16047811073 19799.999999999876 -3.3356086989733136e-12 593999.9639401467
0.05 0.016814515099658183 3.4667017852315816e-05 0.016818282784525625 3.741153640797272e-05 0.008937131567093987 9943.160540157374 19799.999999999865 -3.2923941351015173e-12 593999.9573597581
0.06 0.017736451274759535 3.5610467526206646e-05 0.01774317306689711 3.8190587102044354e-05 0.00981261526207591 9943.160611401552 19799.999999999898 -2.669309218106264e-12 593999.9507871656
0.07 0.018658888074204724 3.6570428666669595e-05 0.01866877387418519 3.9021667478816255e-05 0.01072315099502765 9943.160691845864 19799.9999999999 -1.911387714770285e-12 593999.9442227741
0.08 0.019581786561960905 3.752261094956483e-05 0.019595004689728555 3.9873791036725004e-05 0.011658884764945327 9943.16078149267 19799.999999999894 -1.319833131674386e-12 593999.9376669894
0.09 0.020505117508887862 3.845367972383796e-05 0.02052180124128729 4.072710695926612e-05 0.012613256580462504 9943.160880344098 19799.999999999938 -6.815025974105104e-13 593999.9311202237
0.1 0.021428858805637097 3.9355102227518434e-05 0.021449112852560463 4.156762421731227e-05 0.013581266076798963 9943.160988402302 19799.999999999945 -2.5620824906091855e-13 593999.9245828913
0.11 0.02235299293000691 4.0220749361940634e-05 0.022376899174882118 4.2384983554572124e-05 0.014558799561873581 9943.161105669276 19799.999999999964 1.1544151051756657e-13 593999.9180554025
0.12 0.023277504981770506 4.104644683010505e-05 0.023305127150227003 4.317177026735047e-05 0.015542468189218459 9943.161232147047 19799.999999999894 5.073094722085614e-13 593999.9115381793
0.13 0.02420238154699493 4.1829870901494315e-05 0.024233768895140735 4.39231258123175e-05 0.016529528399667537 9943.161367837383 19799.999999999945 5.845011974425773e-13 593999.9050316408
0.14 0.025127610159889176 4.2570249978296615e-05 0.025162800420247853 4.463626038508918e-05 0.017517771607375835 9943.16151274223 19799.999999999935 7.90812294121368e-13 593999.8985362059
0.15 0.026053179043254313 4.326794163037217e-05 0.026092200825937228 4.530992525924116e-05 0.018505403883942905 9943.161666863352 19799.999999999993 8.737906231903736e-13 593999.8920523
0.16 0.026979076940036557 4.392405450669615e-05 0.027021951709604742 4.5943968075652035e-05 0.01949094495827155 9943.16183020245 19799.999999999964 7.668969626006827e-13 593999.8855803354
0.17 0.02790529299174573 4.4540182209353966e-05 0.027952036692466632 4.6539010379813955e-05 0.020473154243488632 9943.162002761239 19799.99999999994 7.197428417149432e-13 593999.8791207429
