time dragvol liftvol dragbnd liftbnd div kin_energy mom0 mom1 angmom
0.01 0.022888769703442557 1.125202819953058e-05 0.02289713783669225 1.247890021344967e-05 0.0011970375478017497 9943.160185814357 19799.999999999887 8.737455203799982e-14 593999.9961139997
0.02 0.023820370368145365 1.1781436203079345e-05 0.023833147916086223 1.3583212815664216e-05 0.0012367881395488796 9943.160221093236 19799.99999999991 1.8571255644417306e-13 593999.9930165058
0.03 0.02521467484965079 1.4331197283619278e-05 0.025225291066238914 1.596969822192897e-05 0.0012621845690515235 9943.160265629054 19799.99999999991 1.4157078287446723e-13 593999.9899164096
0.04 0.026142968502628535 1.5371213001311985e-05 0.026156491319348038 1.7301395964131345e-05 0.0013417334872224962 9943.160319406279 19799.999999999935 1.394266646581599e-13 593999.9868140803
0.05 0.02707127968972771 1.6033326235721875e-05 0.027087108314991816 1.811437578183206e-05 0.0014572058973292522 9943.160382417724 19799.999999999905 2.5343963039325956e-13 593999.9837099215
0.06 0.02800001586346594 1.6446810188918302e-05 0.028017763766737248 1.8549540972665327e-05 0.0015916243779939838 9943.160454662244 19799.999999999913 1.5172498674109747e-13 593999.9806043273
0.07 0.028929294122147547 1.6669461509459e-05 0.028948664975046782 1.87161238752429e-05 0.0017385295205844574 9943.160536142428 19799.999999999873 1.628072676673753e-13 593999.9774976822
0.08 0.02985913035152617 1.675402350209601e-05 0.029879879531396345 1.8702797078401056e-05 0.0018943329938748367 9943.16062686173 19799.999999999884 1.714078098208338e-13 593999.9743903584
0.09 0.0307895457033594 1.6748039326518946e-05 0.03081147588541169 1.857473417267893e-05 0.002055890576940395 9943.160726824131 19799.999999999938 2.3973184548609083e-13 593999.9712827163
0.1 0.03172057046733339 1.6685324441803275e-05 0.03174352688496216 1.8375572828059214e-05 0.0022205977964994935 9943.16083603375 19799.999999999978 1.7138027108565268e-13 593999.9681751163
0.11 0.032652220822200324 1.658880450812296e-05 0.03267608226950155 1.8136086540128762e-05 0.002386522013633219 9943.160954494815 19799.999999999956 3.4783981250896545e-13 593999.9650679132
0.12 0.03358449253443353 1.6475090601941586e-05 0.03360916258813065 1.7879601003763632e-05 0.0025523000099852648 9943.16108221186 19799.99999999995 5.349887199912473e-14 593999.9619614615
0.13 0.03451736905830812 1.6356039895046533e-05 0.03454276973863053 1.7622985826680202e-05 0.0027169721122322207 9943.161219189207 19799.999999999938 2.518679709240246e-13 593999.9588561096
0.14 0.0354508300020564 1.6239200969603912e-05 0.03547689760548619 1.737694249160752e-05 0.002879848234050938 9943.161365431148 19799.999999999894 1.1006300038030048e-13 593999.9557522085
0.15 0.03638485458988906 1.6128744696831845e-05 0.036411536808226654 1.714730071750273e-05 0.003040419025469436 9943.16152094179 19799.999999999927 1.5673573550145647e-13 593999.9526501073
0.16 0.0373194219811452 1.6026660163305896e-05 0.03734667571168807 1.6936716041672368e-05 0.0031983001215398136 9943.161685725083 19799.999999999898 2.1018603524325385e-13 593999.9495501479
0.17 0.0382545110716708 1.593367133428027e-05 0.03828230067503861 1.6745976495850495e-05 0.0033531967518137503 9943.161859784803 19799.999999999978 2.1896026658474455e-13 593999.9464526797
0.18 0.03919010067449613 1.584976335845728e-05 0.039218396597455706 1.6574769412327678e-05 0.0035048804463061224 9943.162043124428 19799.99999999994 3.2253713588836774e-13 593999.943358047
0.19 0.04012616988643165 1.5774474794745155e-05 0.040154947590961824 1.6422116092653933e-05 0.0036531732273881895 9943.162235747443 19799.99999999993 2.487766936898339e-13 593999.9402665877
0.2 0.041062698345381336 1.5707089503252368e-05 0.04109193747499642 1.6286656935338416e-05 0.0037979367042645647 9943.16243765703 19799.99999999995 2.1783616577231157e-13 593999.9371786518
0.21 0.04199966633002103 1.5646778563585773e-05 0.042029350048529326 1.6166860049987073e-05 0.00393906447903687 9943.162648856172 19799.999999999905 2.599379045342687e-13 593999.934094576
0.22 0.04293705476182327 1.559269741892274e-05 0.04296716921740926 1.6061165417335534e-05 0.004076476801028811 9943.162869347789 19799.99999999995 2.4577475471465604e-13 593999.9310147022
0.23 0.04387484518074167 1.5544043471529584e-05 0.04390537906541199 1.596807294361367e-05 0.004210116742208783 9943.163099134477 19799.999999999953 2.2397361743031752e-13 593999.9279393699
